Feature_Set,Model,ROC_AUC,Accuracy,Sensitivity,Specificity
Model A - Home Information,Logistic,0.8103620345515864,0.8980322003577818,0.5517241379310345,0.93812375249501
Model A - Home Information,LASSO,0.805733360864478,0.8747763864042933,0.6206896551724138,0.9041916167664671
Model A - Home Information,Random Forest,0.8744407736251636,0.8980322003577818,0.6551724137931034,0.9261477045908184
Model B - Home + Home Test,Logistic,0.8949514763576296,0.9087656529516994,0.6724137931034483,0.936127744510978
Model B - Home + Home Test,LASSO,0.9408596599903641,0.8801431127012522,0.8103448275862069,0.8882235528942116
Model B - Home + Home Test,Random Forest,0.9340112877692891,0.9194991055456172,0.7931034482758621,0.9341317365269461
