Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
30103-conditionsrisks-22,Following underlying conditions or risk factors selected;Chronic kidney disease,Do you have any of the following underlying conditions or risk factors? Chronic kidney disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-23,Following underlying conditions or risk factors selected;Chronic lung disease,Do you have any of the following underlying conditions or risk factors? Chronic lung disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-6,Following underlying conditions or risk factors selected;Renal disease,Do you have any of the following underlying conditions or risk factors? Renal disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-7,Following underlying conditions or risk factors selected;Liver disease,Do you have any of the following underlying conditions or risk factors? Liver disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-15,Following underlying conditions or risk factors selected;Sickle cell disease,Do you have any of the following underlying conditions or risk factors? Sickle cell disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-8,Following underlying conditions or risk factors selected;Immunosuppressive disease,Do you have any of the following underlying conditions or risk factors? Immunosuppressive disease,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-16,Following underlying conditions or risk factors selected;Cancer,Do you have any of the following underlying conditions or risk factors? Cancer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-9,Following underlying conditions or risk factors selected;Current smoker (tobacco),Do you have any of the following underlying conditions or risk factors? Current smoker (tobacco),About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-10,Following underlying conditions or risk factors selected;Current substance use,Do you have any of the following underlying conditions or risk factors? Current substance use,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-17,Following underlying conditions or risk factors selected;Current Vape Use,Do you have any of the following underlying conditions or risk factors? Current Vape Use,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-13,"Following underlying conditions or risk factors selected;Mental Health conditions, including serious mental illness","Do you have any of the following underlying conditions or risk factors? Mental Health conditions, including serious mental illness",About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-19,Following underlying conditions or risk factors selected;Other,Do you have any of the following underlying conditions or risk factors? Other,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-20,Following underlying conditions or risk factors selected;I do not have any underlying conditions or risk factors,Do you have any of the following underlying conditions or risk factors? I do not have any underlying conditions or risk factors,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30103-conditionsrisks-999,Following underlying conditions or risk factors selected;Prefer not to answer,Do you have any of the following underlying conditions or risk factors? Prefer not to answer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
30715-risks_specify,Other underlying health risks that the participant has indicated,"Other underlying health risks, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30106-currently_pregnant,Pregnancy Status,Are you currently pregnant?,About You,Categorical,"1, Yes; 2, No; 3, I don't know; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30107-alcohol_consume,Alcohol Use,Do you drink alcohol?,About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30108-employed_currently,Employment Status,Are you currently employed?,About You,Categorical,"1, Yes full-time; 3, Yes, part-time; 4, Yes, temporary; 5, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30109-health_professional,Health Professional Status,"Are you a health care or an allied healthcare professional(e.g. medical, nursing, long-term-care facility, dentistry, pharmacy, EMT/paramedic, other)?",About You,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30110-essential_worker,Essential Worker Status,"Are you an essential worker (other than a healthcare professional) required to workin close contact with others (e.g. retail salesperson, cashier, bus/taxi driver, firefighter, police officer, security guard, custodial staff, restaurant staff, housekeeper, childcare worker, construction worker, other)?",About You,Categorical,"1, No; 2, Yes; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
32136-vaccine_didyou,Vaccination Status,Did you receive the COVID-19 vaccine?,About You,Categorical,"1, Yes; 2, No; 4, Not sure, I participated in a COVID-19 vaccination trial; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
32137-vaccine_avail,Vaccination Likeliness to Receive,"When a COVID-19 vaccine is available to you, how likely are you to get vaccinated?",About You,Categorical,"14,  Very likely; 15, Likely; 16, I do not know yet; 17, Unlikely; 18,  Very unlikely",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-1,Factors that might make participant less likely to get the vaccine selected; I will not get/am never sick,What factors might make you less likely to get the vaccine? I will not get/am never sick,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-2,Factors that might make participant less likely to get the vaccine selected; It's just a virus/not fatal/not necessary,What factors might make you less likely to get the vaccine? It's just a virus/not fatal/not necessary,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-3,Factors that might make participant less likely to get the vaccine selected; I never get vaccinated,What factors might make you less likely to get the vaccine? I never get vaccinated,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-4,Factors that might make participant less likely to get the vaccine selected; I do not trust the vaccine,What factors might make you less likely to get the vaccine? I do not trust the vaccine,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-5,Factors that might make participant less likely to get the vaccine selected; I do not want to pay for it,What factors might make you less likely to get the vaccine? I do not want to pay for it,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-6,Factors that might make participant less likely to get the vaccine selected; Vaccination location is not convenient,What factors might make you less likely to get the vaccine? Vaccination location is not convenient,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-7,Factors that might make participant less likely to get the vaccine selected; Difficult in making an appointment,What factors might make you less likely to get the vaccine? Difficult in making an appointment,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-8,Factors that might make participant less likely to get the vaccine selected; It depends on the risk/adverse events,What factors might make you less likely to get the vaccine? It depends on the risk/adverse events,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-9,Factors that might make participant less likely to get the vaccine selected; I have not thought about it yet,What factors might make you less likely to get the vaccine? I have not thought about it yet,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-10,Factors that might make participant less likely to get the vaccine selected; I am not in the risk group with underlying conditions,What factors might make you less likely to get the vaccine? I am not in the risk group with underlying conditions,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-11,Factors that might make participant less likely to get the vaccine selected; I need more information first,What factors might make you less likely to get the vaccine? I need more information first,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-12,Factors that might make participant less likely to get the vaccine selected; I already had COVID-19,What factors might make you less likely to get the vaccine? I already had COVID-19,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-13,Factors that might make participant less likely to get the vaccine selected; I am going to let others get it first (herd immunity),What factors might make you less likely to get the vaccine? I am going to let others get it first (herd immunity),About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-14,Factors that might make participant less likely to get the vaccine selected; I have had severe allergic reactions to vaccines in the past,What factors might make you less likely to get the vaccine? I have had severe allergic reactions to vaccines in the past,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-15,Factors that might make participant less likely to get the vaccine selected; I am concerned that it will not interact with other medications/treatments that I am currently taking,What factors might make you less likely to get the vaccine? I am concerned that it will not interact with other medications/treatments that I am currently taking,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-16,"Factors that might make participant less likely to get the vaccine selected; I am currently pregnant, planning a pregnancy, or breastfeeding","What factors might make you less likely to get the vaccine? I am currently pregnant, planning a pregnancy, or breastfeeding",About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-17,Factors that might make participant less likely to get the vaccine selected; Do not know yet,What factors might make you less likely to get the vaccine? Do not know yet,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-18,Factors that might make participant less likely to get the vaccine selected; Other,What factors might make you less likely to get the vaccine? Other,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32138-vaccine_factors-999,Factors that might make participant less likely to get the vaccine selected; Prefer not to answer,What factors might make you less likely to get the vaccine? Prefer not to answer,About You,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,True,Structured pre-visit variable from About You
32139-vaccine_factorsother,Other factors that the participant indicates would make them less likely to receive the vaccine,"Other factors, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30112-Insurance,Insurance Status,Are you covered by health insurance or some other kind of health care plan?,About You,Categorical,"1, Yes; 2, I don't have health insurance (Self-Pay); 3, No; 5, I don't know; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30113-Insurance_Plan,Insurance Plan Type,What kind of plan are you covered by?,About You,Categorical,"1, Insurance purchased directly from an insurance company (by you or another family member); 2, Insurance through a current or former employer or union (by you or another family member); 3, Medicare, for people 65 and older or people with certain disabilities; 4, Medicaid, Medical Assistance, or any kind of government-assistance plan for those with low incomes or disability; 5, TRICARE or other military health care; 6, Veterans Affairs (VA) (including those who have ever used or enrolled for VA health care) ○ Indian Health Service; 7, Any other type of health insurance or health coverage plan; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30962-Insurance_specify,Other Insurance Type Details,"Other insurance type, please specify:",About You,Text,,Available at home,False,Free text excluded from structured model
30117-Deaf,Deaf Status,Are you deaf or do you have serious difficulty hearing?,About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30118-Blind,Blind Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30119-Concentrating,Difficulty Concentrating,"Do you have serious difficulty concentrating, remembering, or making decisions (because of a physical, mental, or emotional condition)?",About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30120-Walking,Difficulty Walking,Do you have serious difficulty walking or climbing stairs?,About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30121-Dressing,Difficulty Dressing,Do you have difficulty dressing or bathing?,About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30122-Errands,Difficulty with Errands,"Do you have difficulty doing errands alone such as visiting a doctor's office or shopping (because of a physical, mental, oremotional condition)?",About You,Categorical,"1, Yes; 2, No; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30123-ColorBlind,Color Blind Status,Have you ever been told that you have color-blindness?,About You,Categorical,"1, Yes; 2, No; 3, Not sure; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from About You
30124-ColorBlind_type,Color Blind Type,"If yes, what kind of color-blindness have you been told you have?",About You,Categorical,"1, Red-green color-blindness; 2, Blue-yellow color-blindness; 3, Complete color-blindness (monochromacy); 4, I'm not sure; 5, Prefer not answer",Available at home,True,Structured pre-visit variable from About You
Symptom Screening Confirmation Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""Symptom Screening""",,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
30132-covid_tested30,"Last 30 days, COVID Tested Status","In the past 30 days (outside of this research study) have you been tested for the coronavirus, and if so, what was the result of your most recent test?",Symptom Screening,Categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30717-covid_tst_date_DEID,Number of days from day of Consent when Participant received a COVID test,What was the date of the coronavirus test that you received in the past 30 days (outside of this research study)?,Symptom Screening,Integer,De-identified Value in Days,Not available at home,False,Administrative/date/identifier field
30135-COVID_Result,"Last 30 days, COVID Tested Results",What kind of COVID-19 test did you have?,Symptom Screening,Categorical,"1, Home-based test (please provide name); 2, Lab-administered diagnostic PCR test; 3, Lab-administered diagnostic antigen test; 4, Lab-administered antibody test; 5, Lab-administered test, unsure of type; 999, Prefer not to answer",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
32005-Test_Specify,Name of home test from test in past 30 days related to COVID testing,Please provide the name of the home-based test:,Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30138-COVID_Why-1,"The following best describes why the participant was tested for the Coronavirus, selected; I had coronavirus symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Coronavirus? I had coronavirus symptoms (fever, cough, chills, nausea, etc…)",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30138-COVID_Why-2,"The following best describes why the participant was tested for the Coronavirus, selected; I came into contact with someone who has the coronavirus",Which of the following best describes why you were tested for the Coronavirus? I came into contact with someone who has the coronavirus,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30138-COVID_Why-3,"The following best describes why the participant was tested for the Coronavirus, selected; I want to make sure I don't spread the coronavirus to others",Which of the following best describes why you were tested for the Coronavirus? I want to make sure I don't spread the coronavirus to others,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30138-COVID_Why-4,"The following best describes why the participant was tested for the Coronavirus, selected; I am required by my employer or school",Which of the following best describes why you were tested for the Coronavirus? I am required by my employer or school,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30138-COVID_Why-5,"The following best describes why the participant was tested for the Coronavirus, selected; Other",Which of the following best describes why you were tested for the Coronavirus? Other,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30138-COVID_Why-999,"The following best describes why the participant was tested for the Coronavirus, selected; Prefer not to answer",Which of the following best describes why you were tested for the Coronavirus? Prefer not to answer,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
32006-WhyTested_specify,Other reasons tested for coronavirus,"Other reasons tested for coronavirus, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30141-covid_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-4,"Symptoms experienced prior to getting tested, selected; Chest pain",Which of the following symptoms did you experience prior to getting tested? Chest pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-11,"Symptoms experienced prior to getting tested, selected; Fever or feverish feeling",Which of the following symptoms did you experience prior to getting tested? Fever or feverish feeling,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-14,"Symptoms experienced prior to getting tested, selected; Loss of balance",Which of the following symptoms did you experience prior to getting tested? Loss of balance,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-17,"Symptoms experienced prior to getting tested, selected; Muscle aches (not due to exercise)",Which of the following symptoms did you experience prior to getting tested? Muscle aches (not due to exercise),Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-18,"Symptoms experienced prior to getting tested, selected; New confusion",Which of the following symptoms did you experience prior to getting tested? New confusion,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-19,"Symptoms experienced prior to getting tested, selected; Pinkeye or Conjunctivitis",Which of the following symptoms did you experience prior to getting tested? Pinkeye or Conjunctivitis,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-25,"Symptoms experienced prior to getting tested, selected; Sore throat",Which of the following symptoms did you experience prior to getting tested? Sore throat,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-26,"Symptoms experienced prior to getting tested, selected; Stomach or abdominal pain",Which of the following symptoms did you experience prior to getting tested? Stomach or abdominal pain,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-28,"Symptoms experienced prior to getting tested, selected; Unusual shivering or shaking",Which of the following symptoms did you experience prior to getting tested? Unusual shivering or shaking,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-29,"Symptoms experienced prior to getting tested, selected; Nausea or vomiting",Which of the following symptoms did you experience prior to getting tested? Nausea or vomiting,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-31,"Symptoms experienced prior to getting tested, selected; Other",Which of the following symptoms did you experience prior to getting tested? Other,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
30141-covid_tst_symptoms-998,"Symptoms experienced prior to getting tested, selected; None of the above",Which of the following symptoms did you experience prior to getting tested? None of the above,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior COVID testing excluded to prevent diagnostic leakage
32008-testsypmtoms_specify,Other symptoms prior to testing for coronavirus,"Other symptoms prior to testing, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30144-Flu_Result,Last 30 Days FLU Tested Results,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",Symptom Screening,Categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",Available at home,True,Structured pre-visit variable from Symptom Screening
32027-flu_tst_date_DEID,Number of days from day of Consent when Participant received a FLU test,What was the date of the FLU test that you received in the past 30 days (outside of this research study)?,Symptom Screening,Integer,De-identified Value in Days,Not available at home,False,Administrative/date/identifier field
30147-flu_why-1,"The following best describes why the participant was tested for the Flu, selected; I had Flu symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Flu? I had Flu symptoms (fever, cough, chills, nausea, etc…)",Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30147-flu_why-3,"The following best describes why the participant was tested for the Flu, selected; Other",Which of the following best describes why you were tested for the Flu? Other,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30147-flu_why-999,"The following best describes why the participant was tested for the Flu, selected; Prefer not to answer",Which of the following best describes why you were tested for the Flu? Prefer not to answer,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
32009-flu_why_specify,Other reasons tested for FLU,"Other reasons tested for FLU, please specify:",Symptom Screening,Text,,Available at home,False,Free text excluded from structured model
30150-flu_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
30150-flu_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,Symptom Screening,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",Available at home,False,Prior flu testing excluded
