Variable,Description,Prompt,Form,Data_Type,Permissible_Values,Home_Classification,Primary_Model_Use,Reason
32078-inclinic_intro2,Participant in-clinic follow-up status,"Please select below when you have completed your in-person VCU COVID-19 test.

(If your appointment is scheduled soon, please do not complete this survey yet.)",I Completed My In-Clinic COVID Test,Categorical,"1, I completed my in-person VCU Test; 2, I no longer want to complete the in-person VCU Test  (please note this means you will not receive compensation for this study activity)",Not available at home,False,Excluded due to timing/form: I Completed My In-Clinic COVID Test
32092-inclinic_date_DEID,Number of days from day of Consent when Participant performed their in-clinic visit,What is the day you completed the in-person clinic test?.,I Completed My In-Clinic COVID Test,Integer,De-identified Value in Days,Not available at home,False,Excluded due to timing/form: I Completed My In-Clinic COVID Test
32081-inclinic_why,Participant declines to perform in-clinic follow-up,Can you let us know why you no longer plan to complete this in-person test?,I Completed My In-Clinic COVID Test,Categorical,"1, I forgot to go to my appointment; 2, I am too busy; 3, I don't want to; 4, Other",Not available at home,False,Excluded due to timing/form: I Completed My In-Clinic COVID Test
32093-inclinic_why_specify,Other reasons unable to complete in-clinic appointment,"Other reasons unable to complete in-clinic appointment, please specify:",I Completed My In-Clinic COVID Test,Text,,Not available at home,False,Excluded due to timing/form: I Completed My In-Clinic COVID Test
AtHome2 Completed Submission Date_DEID,"Number of days from day of Consent when Participant completed survey forms ""At-home COVID Kit Instructions and Survey"" related to At-Home Test 2",,Unknown,Integer,De-identified Value in Days,Uncertain,False,Collection timing/form not identified
32316-have_allitems_2,"At-home COVID Test Survey #2, Status of Items required",Do you have everything shown here?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No",Available at home,False,Reserved for derived home-test feature in Model B
32310-testkit_performing_2,"At-Home COVID Test Survey #2,  test specified",Please confirm which at-home COVID Test you are taking:,At-home COVID Kit Instructions and Survey,Categorical,"1, At-home COVID Test #1; 2, At-home COVID Test #2; 3, I am retaking my COVID Test #1",Available at home,False,Reserved for derived home-test feature in Model B
32320-datestart_2_DEID,Number of days from day of Consent when Participant started their second at-home COVID test,What is the day that you completed the first at-home COVID test?,At-home COVID Kit Instructions and Survey,Integer,De-identified Value in Days,Available at home,False,Reserved for derived home-test feature in Model B
32321-time_picker_2,Participant specified time of day string between 0:0 and 23:59,"Time of second at-home test, please specify:",At-home COVID Kit Instructions and Survey,String,,Available at home,False,Reserved for derived home-test feature in Model B
32350-blueline_results_2,"At-Home COVID Test Survey #2, Blue Line Status",Do you see a Blue Line on your Strip?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",Available at home,False,Reserved for derived home-test feature in Model B
32353-pinkline_results_2,"At-Home COVID Test Survey #2, Pink Line Status","Do you see a Pink Line on your Strip?
Look closely, the Pink Line may be very faint.",At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No, or I'm not sure; 3, I could not complete the test",Available at home,False,Reserved for derived home-test feature in Model B
32356-pinkblue_confirm_2,"At-Home COVID Test Survey #2, Pink and Blue Confirmation Status",Does your test strip look like one of these?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No, I'm not sure; 3, I did not complete the test",Available at home,False,Reserved for derived home-test feature in Model B
32359-blue_nopink_confirm_2,"At-Home COVID Test Survey #2, No Pink, but Yes Blue Confirmation Status",Does your test strip look like this?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No",Available at home,False,Reserved for derived home-test feature in Model B
32362-noblue_confirm_2,"At-Home COVID Test Survey #2, No Blue Confirmation Status",Does your test strip look one of these?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No",Available at home,False,Reserved for derived home-test feature in Model B
32364-unable_select_2,"At-Home COVID Test Survey #2, Unable to complete status",We are sorry to hear that you were unable to complete the COVID Test. Could you please let us know why you were not able to complete the test?,At-home COVID Kit Instructions and Survey,Categorical,"1, It was too painful; 2, I didn't feel comfortable administering to myself; 3, I changed my mind, I no longer want to be in this study; 4, Other; 5, Prefer not to answer",Available at home,False,Reserved for derived home-test feature in Model B
32365-unable_other_2,Unable to complete the at-home test 2 for other reasons,"Other reasons why you couldn't complete the second at-home test, please specify:",At-home COVID Kit Instructions and Survey,Text,,Available at home,False,Reserved for derived home-test feature in Model B
32366-which_test_2,"At-Home COVID Test Survey #2, Confirmed test type status",Please confirm which test you just attempted to complete:,At-home COVID Kit Instructions and Survey,Categorical,"1, Test #1; 2, Test #2; 3, Retake of Test #1",Available at home,False,Reserved for derived home-test feature in Model B
32367-willing_retake_2,"At-Home COVID Test Survey #2, confirming retake status",Would you be willing to try another at-home test in a few days?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No",Available at home,False,Reserved for derived home-test feature in Model B
32373-invalid_followup_2,"At-Home COVID Test Survey #2, Invalid Status Follow-up","Based on your response, we are not sure if your test if Positive or Negative. This can happen sometimes. Please answer a few questions to help us determine what your next steps should be. Which at-home COVID Test did you just take?",At-home COVID Kit Instructions and Survey,Categorical,"1, Test #1; 2, Test #2; 3, Retaking test #1",Available at home,False,Reserved for derived home-test feature in Model B
32374-test1_invalid_2,"At-Home COVID Test Survey #2, Retake Test 1 Status",Would you like to take another at-home COVID test today?,At-home COVID Kit Instructions and Survey,Categorical,"1, Yes; 2, No",Available at home,False,Reserved for derived home-test feature in Model B
